"latitude","longitude","acq_date","cluster"
-37.588783,149.073303,"1/1/2020",1
-37.604065,148.927734,"1/1/2020",1
-37.604561,148.920685,"1/1/2020",1
-37.613331,148.794296,"1/1/2020",1
-37.602055,148.95636,"1/1/2020",1
-37.590271,149.122498,"1/1/2020",1
-37.613834,148.786987,"1/1/2020",1
-37.599571,148.919907,"1/1/2020",1
-37.595154,149.054031,"1/1/2020",1
-37.633007,148.580444,"1/1/2020",1
-37.572926,149.361176,"1/1/2020",1
-37.573425,149.35434,"1/1/2020",1
-37.606014,148.971542,"1/1/2020",1
-37.590797,149.18428,"1/1/2020",1
-37.591282,149.177582,"1/1/2020",1
-37.584904,149.197021,"1/1/2020",1
-37.595715,149.116135,"1/1/2020",1
-37.57832,149.354706,"1/1/2020",1
-37.578823,149.347916,"1/1/2020",1
-37.689224,147.78598,"1/1/2020",1
-37.586796,149.239319,"1/1/2020",1
-37.608311,148.793503,"1/1/2020",1
-37.672661,147.611511,"1/1/2020",3
-37.586334,149.177216,"1/1/2020",1
-37.590317,149.190872,"1/1/2020",1
-37.638119,148.580826,"1/1/2020",1
-37.653912,148.343842,"1/1/2020",1
-37.654156,148.340103,"1/1/2020",1
-37.618599,148.864395,"1/1/2020",1
-37.61404,148.929214,"1/1/2020",1
-37.615055,148.914825,"1/1/2020",1
-37.654408,148.336334,"1/1/2020",1
-37.618099,148.87149,"1/1/2020",1
-37.584213,149.34169,"1/1/2020",1
-37.584702,149.335083,"1/1/2020",1
-37.583717,149.348297,"1/1/2020",1
-37.591702,149.23999,"1/1/2020",1
-37.675877,148.085327,"1/1/2020",1
-37.601166,149.10968,"1/1/2020",1
-37.655148,148.324982,"1/1/2020",1
-37.659843,148.332794,"1/1/2020",1
-37.659092,148.344223,"1/1/2020",1
-37.659344,148.340378,"1/1/2020",1
-37.659592,148.336624,"1/1/2020",1
-37.658855,148.347809,"1/1/2020",1
-37.648029,148.510208,"1/1/2020",1
-37.658398,148.354736,"1/1/2020",1
-37.660091,148.329025,"1/1/2020",1
-37.658627,148.351227,"1/1/2020",1
-37.59008,149.328979,"1/1/2020",1
-37.611561,149.034714,"1/1/2020",1
-37.647118,148.523727,"1/1/2020",1
-37.589588,149.335632,"1/1/2020",1
-37.665539,148.325424,"1/1/2020",1
-37.647518,148.517807,"1/1/2020",1
-37.67561,148.089493,"1/1/2020",1
-37.655399,148.321106,"1/1/2020",1
-37.664532,148.340637,"1/1/2020",1
-37.665291,148.329193,"1/1/2020",1
-37.666538,148.310257,"1/1/2020",1
-37.66333,148.35881,"1/1/2020",1
-37.652256,148.523987,"1/1/2020",1
-37.652649,148.518143,"1/1/2020",1
-37.680332,148.09816,"1/1/2020",1
-37.653168,148.510544,"1/1/2020",1
